# captures index — per-capture detail in tests/candumps/*.md (date in filename matches notes column)
# status: pending | partial | done
id	bus	status	notes
5	can3	done	cabin temp not broadcast remote (ign-off ECU sleep); v.e.cabintemp stale during remote clima
6	can3	done	natural stop port 0x12 05->00; v.e.hvac drive from port 0x12 not 0x5EA remote_mode
7	can3	done	BAP port 0x19 raw=(celsius-10)*10; bug: read cfg in CommandClimateControl not Ticker10 cache
8	can3	pending	AC charge energy meter — 0x1A5554A8 MuxB b4 unit TBD; ground truth sessions: 20260427-173425 (845 s, 1.49 kWh, 6.2 kW, no raw), 20260427-200534 (1056 s, 2.17 kWh, 7.4 kW, no raw); 0x191 BMS_PowerBus confirmed live on CAN2; BLOCKED: raw-frame logging not running on either session — fix `can log start` before next attempt
9	can3	pending	lock/unlock auth bytes — fob diff vs 0x5A7 idle (blocks lock PR)
10	can3	pending	min SoC BAP frame — change in head unit e-Manager, diff vs idle
11	can1	pending	UDS ign-on retry @ 500k+1M for all ECU addrs (ISO-TP std + VW TP2.0 + 7DF + 200/200)
12	can3	done	schedule-trig clima: different BAP signaling, same port 0x12 stop detect
13	can3	pending	charge start/stop — min SoC 0%<->100%, diff vs idle
14	can3	merged→8	folded into cap 8; frame structure confirmed in can3-…-20260413-121648.md
15	can2	done	gear: 0x187 authoritative; 0x0B3 = drive-armed latch; 0x0B4 b3/4 torque cand (D/B only)
16	can2	done	pedal: 0x365 b4b0 brake pressure; 0x3BE b3 brake sw; 0x3BE b5b0 throttle; DBC stubs added, re-confirm needed
17	can2	done	drive: 0x0B2 wheel spd (1/128 km/h/bit, 4xLE16); 0x0B4 b3:4/b6:7 LE16 motor torque pairs; 0x057 b3 torque req
17c	can2	done	drive part c — wheel spd / torque pair confirmation (see cap 17 finding)
17d	can2	pending	sustained regen coast — disambig torque vs power for 0x0B4 (b3,b4)
17e	can2	pending	WOT accel — confirm MotorTorqueB on fwd load, check sign byte
18	can3	done	clima verify deferred path: locked >=30s, start (wake + ~1s gap -> BAP), 10s, stop (NM linger + ACK ctr match) — 20260422 (4 caps)
19	can3	done	clima verify direct path: unlock+door (bus awake), start (immediate BAP, no wake), 10s, stop — 20260422 (in same set as cap 18)

# FCAN decode baseline: can2-3.3.005-800-gc60d79ed-dirty_ota_1_edge-20260412-175611.crtd (CCS idle, 26127 frames)
# Per-cap MD format: 5–10s pre/post idle, log stimulus + timestamps
# Audit scripts: tests/analysis/scratch/apr7_*.py
